Time,State of Charge,Pack Voltage,Pack Current,Pack CCL,Pack DCL,Highest Cell ID,Highest Cell Volt,Lowest Cell ID,Lowest Cell Volt,Charger Safety Status,Charge Enable Status,Discharge Enable Status,High Temperature,Low Temperature,Cell Voltage 1,Cell Voltage 2,Cell Voltage 3,Cell Voltage 4,Cell Voltage 5,Cell Voltage 6,Cell Voltage 7,Cell Voltage 8,Cell Voltage 9,Cell Voltage 10,Cell Voltage 11,Cell Voltage 12,Cell Voltage 13,Cell Voltage 14,Cell Voltage 15,Cell Voltage 16,Cell Voltage 17,Cell Voltage 18,Cell Voltage 19,Cell Voltage 20,Cell Voltage 21,Cell Voltage 22,Cell Voltage 23,Cell Voltage 24,Cell Voltage 25,Cell Voltage 26,Cell Voltage 27,Cell Voltage 28,Cell Voltage 29,Cell Voltage 30,Cell Resistance 1,Cell Resistance 2,Cell Resistance 3,Cell Resistance 4,Cell Resistance 5,Cell Resistance 6,Cell Resistance 7,Cell Resistance 8,Cell Resistance 9,Cell Resistance 10,Cell Resistance 11,Cell Resistance 12,Cell Resistance 13,Cell Resistance 14,Cell Resistance 15,Cell Resistance 16,Cell Resistance 17,Cell Resistance 18,Cell Resistance 19,Cell Resistance 20,Cell Resistance 21,Cell Resistance 22,Cell Resistance 23,Cell Resistance 24,Cell Resistance 25,Cell Resistance 26,Cell Resistance 27,Cell Resistance 28,Cell Resistance 29,Cell Resistance 30,Open Cell Voltage 1,Open Cell Voltage 2,Open Cell Voltage 3,Open Cell Voltage 4,Open Cell Voltage 5,Open Cell Voltage 6,Open Cell Voltage 7,Open Cell Voltage 8,Open Cell Voltage 9,Open Cell Voltage 10,Open Cell Voltage 11,Open Cell Voltage 12,Open Cell Voltage 13,Open Cell Voltage 14,Open Cell Voltage 15,Open Cell Voltage 16,Open Cell Voltage 17,Open Cell Voltage 18,Open Cell Voltage 19,Open Cell Voltage 20,Open Cell Voltage 21,Open Cell Voltage 22,Open Cell Voltage 23,Open Cell Voltage 24,Open Cell Voltage 25,Open Cell Voltage 26,Open Cell Voltage 27,Open Cell Voltage 28,Open Cell Voltage 29,Open Cell Voltage 30
Wed Jul 21 17:34:07 PDT 2021,74,113.6,0.3,45,105,29,3.8069,22,3.7525,0,1,1,30,27,3.7808,3.7915,3.7877,3.7919,3.7909,3.7748,3.7776,3.7911,3.7903,3.7931,3.791,3.7893,3.7898,3.7786,3.7877,3.7916,3.7911,3.7914,3.7902,3.7928,3.7921,3.7525,3.7786,3.7828,3.7888,3.7888,3.7896,3.7896,3.8069,3.7739,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7823,3.7928,3.7891,3.7931,3.7922,3.776,3.7789,3.7924,3.7917,3.7945,3.7923,3.7906,3.7911,3.7798,3.7891,3.793,3.7925,3.7926,3.7915,3.7941,3.7935,3.7538,3.7798,3.7841,3.7901,3.7901,3.7909,3.791,3.8082,3.7751
Wed Jul 21 17:34:09 PDT 2021,74,113.6,0.3,45,105,29,3.807,22,3.7525,0,1,1,30,27,3.7808,3.7915,3.7877,3.7919,3.7909,3.7748,3.7776,3.7911,3.7903,3.7931,3.791,3.7893,3.7898,3.7786,3.7877,3.7916,3.7911,3.7914,3.7902,3.7928,3.7921,3.7525,3.7786,3.7828,3.789,3.7888,3.7896,3.7897,3.807,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7901,3.7901,3.7909,3.791,3.8082,3.7751
Wed Jul 21 17:34:09 PDT 2021,74,113.6,0.3,45,105,29,3.807,22,3.7525,0,1,1,30,27,3.7808,3.7915,3.7877,3.7919,3.7909,3.7748,3.7776,3.7911,3.7903,3.7931,3.791,3.7893,3.7898,3.7786,3.7877,3.7916,3.7911,3.7914,3.7902,3.7928,3.7921,3.7525,3.7786,3.7828,3.789,3.7888,3.7896,3.7897,3.807,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7901,3.7901,3.7909,3.791,3.8082,3.7751
Wed Jul 21 17:34:10 PDT 2021,74,113.6,0.3,45,105,29,3.807,22,3.7524,0,1,1,30,27,3.781,3.7916,3.7879,3.7917,3.7909,3.7748,3.7776,3.7913,3.7905,3.7934,3.791,3.7893,3.7899,3.7785,3.7877,3.7916,3.791,3.7913,3.7902,3.7928,3.7922,3.7524,3.7785,3.7828,3.789,3.7888,3.7896,3.7897,3.807,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:10 PDT 2021,74,113.6,0.3,45,105,29,3.8069,22,3.7524,0,1,1,30,27,3.781,3.7916,3.7878,3.7917,3.7909,3.7749,3.7775,3.7911,3.7904,3.7933,3.7909,3.7895,3.7898,3.7785,3.7878,3.7916,3.7911,3.7914,3.7902,3.7928,3.7922,3.7524,3.7786,3.7828,3.7888,3.7887,3.7896,3.7895,3.8069,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:12 PDT 2021,74,113.6,0.3,45,105,29,3.8068,22,3.7526,0,1,1,30,27,3.781,3.7914,3.7877,3.7918,3.791,3.7748,3.7776,3.7911,3.7904,3.7934,3.7909,3.7894,3.7898,3.7785,3.7878,3.7917,3.7911,3.7913,3.7902,3.7928,3.7922,3.7526,3.7785,3.7828,3.7888,3.7888,3.7896,3.7896,3.8068,3.7737,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:12 PDT 2021,74,113.6,0.3,45,105,29,3.8071,22,3.7525,0,1,1,30,27,3.7809,3.7915,3.7876,3.7917,3.7909,3.7748,3.7775,3.791,3.7905,3.7933,3.7909,3.7892,3.7898,3.7784,3.7876,3.7916,3.791,3.7914,3.7902,3.7929,3.7922,3.7525,3.7784,3.783,3.7889,3.7888,3.7895,3.7897,3.8071,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7822,3.7927,3.7889,3.7931,3.7922,3.7761,3.7788,3.7923,3.7916,3.7945,3.7922,3.7906,3.7912,3.7799,3.7891,3.793,3.7924,3.7927,3.7916,3.7941,3.7935,3.7539,3.7799,3.7841,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:12 PDT 2021,74,113.6,0.3,45,105,29,3.8071,22,3.7525,0,1,1,30,27,3.7809,3.7915,3.7876,3.7917,3.7909,3.7748,3.7775,3.791,3.7905,3.7933,3.7909,3.7892,3.7898,3.7784,3.7876,3.7916,3.791,3.7914,3.7902,3.7929,3.7922,3.7525,3.7784,3.783,3.7889,3.7887,3.7896,3.7896,3.8071,3.7737,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7823,3.7929,3.7891,3.7932,3.7923,3.7762,3.779,3.7925,3.7918,3.7947,3.7923,3.7907,3.7912,3.7798,3.789,3.793,3.7925,3.7928,3.7916,3.7942,3.7935,3.7539,3.7799,3.7842,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:13 PDT 2021,74,113.6,0.3,45,105,29,3.8071,22,3.7525,0,1,1,30,27,3.7809,3.7915,3.7876,3.7917,3.7909,3.7748,3.7775,3.791,3.7905,3.7933,3.7909,3.7892,3.7898,3.7784,3.7876,3.7916,3.791,3.7914,3.7902,3.7929,3.7922,3.7525,3.7784,3.783,3.7889,3.7887,3.7896,3.7896,3.8071,3.7737,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7823,3.7929,3.7891,3.7932,3.7923,3.7762,3.779,3.7925,3.7918,3.7947,3.7923,3.7907,3.7912,3.7798,3.789,3.793,3.7925,3.7928,3.7916,3.7942,3.7935,3.7539,3.7799,3.7842,3.7902,3.7901,3.7909,3.791,3.8084,3.7752
Wed Jul 21 17:34:14 PDT 2021,74,113.6,0.3,45,105,29,3.8072,22,3.7525,0,1,1,30,27,3.7811,3.7914,3.7878,3.7919,3.7909,3.7749,3.7776,3.7912,3.7904,3.7934,3.791,3.7894,3.7898,3.7785,3.7878,3.7916,3.7912,3.7915,3.7902,3.7928,3.7922,3.7525,3.7785,3.7828,3.7889,3.7887,3.7897,3.7897,3.8072,3.7738,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,3.7823,3.7929,3.7891,3.7932,3.7923,3.7762,3.779,3.7925,3.7918,3.7947,3.7923,3.7907,3.7912,3.7798,3.789,3.793,3.7925,3.7928,3.7916,3.7942,3.7935,3.7539,3.7799,3.7842,3.7902,3.7901,3.791,3.791,3.8084,3.7753
